
📺央视频道,#genre#
CCTV-1,http://113.120.108.132:4000/udp/239.21.1.120:5002
CCTV-4,http://home.yulei.online:9999/rtp/226.0.2.156:9160
CCTV-11,http://113.120.108.132:4000/udp/239.21.2.2:5002
CCTV-12,http://113.120.108.132:4000/udp/239.21.1.156:5002
CCTV-16,http://home.yulei.online:9999/rtp/226.0.2.169:9264
CETV-1,http://113.120.108.132:4000/udp/239.21.2.7:5002

📡卫视频道,#genre#
河北卫视,http://113.120.108.132:4000/udp/239.21.1.168:5002
河南卫视,http://113.120.108.132:4000/udp/239.21.2.37:5002
吉林卫视,http://113.120.108.132:4000/udp/239.21.2.49:5002
宁夏卫视,http://113.120.108.132:4000/udp/239.21.1.44:5002
山东卫视,http://113.120.108.132:4000/udp/239.21.1.87:5002
天津卫视,http://113.120.108.132:4000/udp/239.21.1.165:5002
西藏卫视,http://113.120.108.132:4000/udp/239.21.1.46:5002

🌊港·澳·台,#genre#
明珠台,http://r.jdshipin.com/jUx8K
凤凰中文,http://pull-vivek.speedws.com/live/aaafhzw.flv
凤凰资讯,http://pull-vivek.speedws.com/live/aaafhzx.flv

☘️广东频道,#genre#
嘉佳卡通,http://113.120.108.132:4000/udp/239.21.2.5:5002

☘️上海频道,#genre#
新闻综合,http://113.120.108.132:4000/udp/239.21.1.193:5002

☘️江苏频道,#genre#
优漫卡通,http://113.120.108.132:4000/udp/239.21.1.50:5002

☘️湖南频道,#genre#
金鹰纪实,http://113.120.108.132:4000/udp/239.21.1.170:5002

☘️湖北频道,#genre#
武汉文体,http://www.hiliu.myds.me:18088/rtp/239.69.1.147:10518

☘️天津频道,#genre#
天津卫视,http://113.120.108.132:4000/udp/239.21.1.165:5002

☘️福建频道,#genre#
厦门卫视,http://113.120.108.132:4000/udp/239.21.2.6:5002

☘️山东频道,#genre#
山东少儿,http://113.120.108.132:4000/udp/239.21.1.208:5002
山东新闻,http://113.120.108.132:4000/udp/239.21.1.140:5002
山东教育,http://113.120.108.132:4000/udp/239.21.1.169:5002
山东居家购物,http://113.120.108.132:4000/udp/239.21.1.112:5002
山东农科,http://113.120.108.132:4000/udp/239.21.1.183:5002
山东齐鲁,http://113.120.108.132:4000/udp/239.21.1.134:5002
山东生活,http://113.120.108.132:4000/udp/239.21.1.175:5002

🎬电影频道,#genre#
靖天戏剧,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv058
天映经典,http://pull-vivek.speedws.com/live/aaatyjd.flv

🪁动画频道,#genre#
优漫卡通,http://113.120.108.132:4000/udp/239.21.1.50:5002
七龙珠,https://live.metshop.top/huya/11601966
七龙珠,http://cdn.jdshipin.com:8880/huya.php?id=11601966
七龙珠,https://live.ottiptv.cc/huya/11601966
中华小当家,http://cdn.jdshipin.com:8880/huya.php?id=11342413
中华小当家,https://live.metshop.top/huya/11342413
猫和老鼠,http://cdn.jdshipin.com:8880/huya.php?id=11352879
猫和老鼠,https://live.metshop.top/huya/11352879
经典动漫,https://www.goodiptv.club/yy/22777075
漫画解说,https://www.goodiptv.club/douyu/5907076

🏛经典剧场,#genre#
笑傲江湖,https://vd4.bdstatic.com/mda-ki3e6haxdv0x0tgr/v1-cae/mda-ki3e6haxdv0x0tgr.mp4?auth_key=1602763155-0-0-1dae92370a0b1d7d9dca0d3d9c748b00&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=537&split=597343
笑傲江湖,https://live.metshop.top/huya/26355790
天龙八部,https://live.ottiptv.cc/yy/1351814644
天龙八部,https://live.ottiptv.cc/huya/20985816
鹿鼎记,https://live.metshop.top/yy/28265277
鹿鼎记,https://live.ottiptv.cc/yy/28265277
仙剑奇侠传,https://live.metshop.top/yy/1382749903
仙剑奇侠传,https://live.ottiptv.cc/yy/1382749903
三国演义,http://cdn.jdshipin.com:8880/huya.php?id=11602081
三国演义,https://live.ottiptv.cc/huya/11602081
新白娘子传奇,https://www.goodiptv.club/yy/1354490667
新白娘子传奇,https://live.ottiptv.cc/yy/1354490667
新白娘子传奇,https://live.metshop.top/yy/1354490667
济公游记,https://www.goodiptv.club/yy/1355265814
封神榜,http://cdn.jdshipin.com:8880/huya.php?id=29465849
封神榜,https://live.metshop.top/huya/29465849
封神榜,https://live.ottiptv.cc/huya/29465849
封神榜,https://live.metshop.top/yy/1353426319
上海滩,https://vd4.bdstatic.com/mda-keck5jhdaagebxkm/v1-cae/mda-keck5jhdaagebxkm.mp4?auth_key=1602762530-0-0-3e02c62e492e00c28c5557d41188d769&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=288&split=391503
上海滩,https://live.metshop.top/yy/1382745184
上海滩,https://www.goodiptv.club/yy/1382745184
射雕英雄传,http://cdn.jdshipin.com:8880/huya.php?id=23824164
射雕英雄传,https://live.metshop.top/huya/23824164
